model,horizon,bin,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,n_mean,n_std
lstm,3,"[5, 10)",3,5.262650759607742,0.06779006041213949,3.7747735338079678,0.058581549640806266,9358.0,0.0
lstm,4,"[0, 0.1)",3,2.8752943782847247,0.20086299105966687,1.6739712407871281,0.10031516939280397,83742.0,0.0
lstm,4,"[0.1, 1)",3,5.4062371704311785,0.42902437907706154,3.7693466112430776,0.3022349207407534,13712.0,0.0
lstm,4,"[1, 5)",3,6.031385352132488,0.6249154544080588,4.385426051882592,0.4914602796949787,16774.0,0.0
lstm,4,"[10, inf)",3,28.890885460686288,0.4247647929672856,18.001353792622478,0.48713084613001595,16347.0,0.0
lstm,4,"[5, 10)",3,5.789989204710366,0.5601433709955705,4.175189434879717,0.3769898507458979,9333.0,0.0
temporal,1,"[0, 0.1)",3,2.401206229142563,0.037143312544963517,1.1484277277509685,0.18157094718762404,84444.0,0.0
temporal,1,"[0.1, 1)",3,4.547890849190234,0.08441597996196713,2.6483182856966017,0.07692971593413173,13971.0,0.0
temporal,1,"[1, 5)",3,6.3076844869599435,0.29386956575031414,3.8564819386837343,0.1498507712685786,17020.0,0.0
temporal,1,"[10, inf)",3,25.427740108458483,0.2160527796649659,16.090930500957,0.11430804437595751,16406.0,0.0
temporal,1,"[5, 10)",3,7.272749540636526,0.44806954063273235,5.101140233514266,0.3006758445784302,9422.0,0.0
temporal,2,"[0, 0.1)",3,2.6870722216007086,0.06914795629258186,1.619162760899614,0.14035263873960196,84068.0,0.0
temporal,2,"[0.1, 1)",3,4.963849555956102,0.030081250003043236,3.4153325448741048,0.1027305037161109,13885.0,0.0
temporal,2,"[1, 5)",3,5.840430552876005,0.036113839117012395,3.9889781995698015,0.03042195554429358,16941.0,0.0
temporal,2,"[10, inf)",3,28.15550070398673,0.11114967289779229,17.690784665805136,0.053578847174126636,16372.0,0.0
temporal,2,"[5, 10)",3,5.868233397972421,0.15547137121567828,4.1169123249885295,0.10678516286153128,9387.0,0.0
temporal,3,"[0, 0.1)",3,2.5652955594207345,0.05122143655192192,1.4830857070112173,0.17090719392918546,83918.0,0.0
temporal,3,"[0.1, 1)",3,4.7979840870798505,0.08866007886732079,3.357791221264834,0.14649498457552615,13799.0,0.0
temporal,3,"[1, 5)",3,5.436658142033946,0.23190352797495012,3.867634871952763,0.10095390368038444,16865.0,0.0
temporal,3,"[10, inf)",3,29.140385051898296,0.3102849026096443,18.42855277490058,0.1016019686965775,16353.0,0.0
temporal,3,"[5, 10)",3,5.3464613259234985,0.5043933475260156,3.8424885336741466,0.17356557926754426,9358.0,0.0
temporal,4,"[0, 0.1)",3,2.6560675907668414,0.14764140461089817,1.675380025069505,0.1580251915005075,83742.0,0.0
temporal,4,"[0.1, 1)",3,4.823171446599889,0.27756449675579853,3.511751681334205,0.27612970696136396,13712.0,0.0
temporal,4,"[1, 5)",3,5.108516753512312,0.28424061716824306,3.794516640040824,0.26275181481376714,16774.0,0.0
temporal,4,"[10, inf)",3,29.891687127932173,0.23474317111033643,18.92390432831998,0.33823175087919893,16347.0,0.0
temporal,4,"[5, 10)",3,4.804536661256117,0.19256708208128093,3.6024425629961905,0.1577498137839024,9333.0,0.0
