model,horizon,seed,bin,bin_lo_mm,bin_hi_mm,n,RMSE,MAE,mean_obs_mm,mean_pred_mm
attention,1,13,"[10, inf)",10.0,inf,16406,25.232269963949214,15.70394472886337,27.122119939081642,14.25864968248739
attention,1,42,"[0, 0.1)",0.0,0.1,84444,2.2882894096404347,1.1106840802523272,0.0,0.9815315254063854
attention,1,42,"[0.1, 1)",0.1,1.0,13971,4.246573608442033,2.6096302023469433,0.4187101891669486,2.865486597069992
attention,1,42,"[1, 5)",1.0,5.0,17020,5.637016708646429,3.543176665805182,2.483948302668214,4.9943964739337705
attention,1,42,"[5, 10)",5.0,10.0,9422,6.432553159599888,4.572155648237421,7.217692592649596,7.458740223955594
attention,1,42,"[10, inf)",10.0,inf,16406,25.88541169487831,16.385771036923167,27.122119939081642,13.01366741658513
attention,1,123,"[0, 0.1)",0.0,0.1,84444,2.582131685609998,1.2555911032804772,0.0,1.2055476242410563
attention,1,123,"[0.1, 1)",0.1,1.0,13971,4.889935328069203,3.0035390854088373,0.4187101891669486,3.3555686444063695
attention,1,123,"[1, 5)",1.0,5.0,17020,6.518894761152562,4.066670113644216,2.483948302668214,5.7726159371761065
attention,1,123,"[5, 10)",5.0,10.0,9422,7.19416862616453,5.081512266451747,7.217692592649596,8.562090023637989
attention,1,123,"[10, inf)",10.0,inf,16406,25.168470185836174,15.64858054872979,27.122119939081642,14.390269814655491
persistence,1,n/a,"[0, 0.1)",0.0,0.1,84444,4.799599992668091,0.6632975668997423,0.0,0.6632975668997423
persistence,1,n/a,"[0.1, 1)",0.1,1.0,13971,7.797303070478937,2.5693436399524576,0.4187101891669486,2.606291604598487
persistence,1,n/a,"[1, 5)",1.0,5.0,17020,10.998146030463129,4.963460629215829,2.483948302668214,5.449559337982402
persistence,1,n/a,"[5, 10)",5.0,10.0,9422,12.681190020844962,7.606092105812358,7.217692592649596,8.886170654243514
persistence,1,n/a,"[10, inf)",10.0,inf,16406,27.597929103410355,18.099926843439498,27.122119939081642,17.73991831684287
lstm,2,13,"[0, 0.1)",0.0,0.1,84068,2.7160065852534676,1.4774482784436027,0.0,0.7694761698264568
lstm,2,13,"[0.1, 1)",0.1,1.0,13885,5.2200439996309225,3.5733527079911593,0.41882607508658676,3.5440729916605327
lstm,2,13,"[1, 5)",1.0,5.0,16941,6.091810153029291,4.438679884215326,2.4852606168245597,5.825021233320897
lstm,2,13,"[5, 10)",5.0,10.0,9387,5.915312700156378,4.252769752854298,7.215936892352902,7.8138603446845725
lstm,2,13,"[10, inf)",10.0,inf,16372,27.937729194533333,17.366257546750862,27.14548007078285,10.959035223784932
lstm,2,42,"[0, 0.1)",0.0,0.1,84068,3.2802435268020784,2.1174057558491692,0.0,2.0502131488543243
lstm,2,42,"[0.1, 1)",0.1,1.0,13885,5.892038872601042,4.281455636013416,0.41882607508658676,4.638025756456958
lstm,2,42,"[1, 5)",1.0,5.0,16941,6.871630735656818,4.848759390343589,2.4852606168245597,6.8628060333479395
lstm,2,42,"[5, 10)",5.0,10.0,9387,6.54769381193514,4.493038601917579,7.215936892352902,8.819783030612752
lstm,2,42,"[10, inf)",10.0,inf,16372,27.26715827264536,16.771359388708724,27.14548007078285,12.261434643561723
lstm,2,123,"[0, 0.1)",0.0,0.1,84068,2.6636620399931603,1.593962335275529,0.0,1.5366773141609325
lstm,2,123,"[0.1, 1)",0.1,1.0,13885,4.970021059378815,3.3871523182536065,0.41882607508658676,3.7448762019202
lstm,2,123,"[1, 5)",1.0,5.0,16941,5.870804573357403,3.9839392155465485,2.4852606168245597,5.802331464745054
lstm,2,123,"[5, 10)",5.0,10.0,9387,5.915357683064609,4.1683587953686905,7.215936892352902,7.664497658187245
lstm,2,123,"[10, inf)",10.0,inf,16372,27.969018188585,17.565453199753055,27.14548007078285,10.954012677888016
temporal,2,13,"[0, 0.1)",0.0,0.1,84068,2.6074154789119444,1.458634972010657,0.0,1.4191536137422205
temporal,2,13,"[0.1, 1)",0.1,1.0,13885,4.92937339197256,3.29742353749499,0.41882607508658676,3.6235952557728397
temporal,2,13,"[1, 5)",1.0,5.0,16941,5.872240487970472,4.009710890760508,2.4852606168245597,5.707535552439833
temporal,2,13,"[5, 10)",5.0,10.0,9387,6.042134580719804,4.240204147730658,7.215936892352902,7.6313109868777556
temporal,2,13,"[10, inf)",10.0,inf,16372,28.027229898785045,17.630035174414207,27.14548007078285,10.965013909415738
temporal,2,42,"[0, 0.1)",0.0,0.1,84068,2.7316484732724353,1.6801397440572612,0.0,1.6482949264491622
temporal,2,42,"[0.1, 1)",0.1,1.0,13885,4.984751950909469,3.4855411979282183,0.41882607508658676,3.8600696050951435
temporal,2,42,"[1, 5)",1.0,5.0,16941,5.801173810284167,4.00317019300892,2.4852606168245597,5.846280913683867
temporal,2,42,"[5, 10)",5.0,10.0,9387,5.742680588437342,4.053712116008752,7.215936892352902,7.675001607933147
temporal,2,42,"[10, inf)",10.0,inf,16372,28.223404419866746,17.711019523122694,27.14548007078285,10.634154795992895
temporal,2,123,"[0, 0.1)",0.0,0.1,84068,2.722152712617747,1.7187135666309235,0.0,1.716977064178449
temporal,2,123,"[0.1, 1)",0.1,1.0,13885,4.977423324986279,3.463032899199107,0.41882607508658676,3.8653018095708234
temporal,2,123,"[1, 5)",1.0,5.0,16941,5.847877360373377,3.954053514939976,2.4852606168245597,5.8655366882694135
temporal,2,123,"[5, 10)",5.0,10.0,9387,5.819885024760118,4.056820711226179,7.215936892352902,7.697169415938637
temporal,2,123,"[10, inf)",10.0,inf,16372,28.215867793308394,17.731299299878497,27.14548007078285,10.663054381928621
attention,2,13,"[0, 0.1)",0.0,0.1,84068,2.701443138134735,1.4971389469373952,0.0,0.3867903743212664
attention,2,13,"[0.1, 1)",0.1,1.0,13885,5.198428615305104,3.4645032435108565,0.41882607508658676,3.239773036308254
attention,2,13,"[1, 5)",1.0,5.0,16941,6.324372531501334,4.4927189268748,2.4852606168245597,5.691289322050909
attention,2,13,"[5, 10)",5.0,10.0,9387,6.37293011728426,4.695392200451903,7.215936892352902,7.89806231203928
attention,2,13,"[10, inf)",10.0,inf,16372,28.00044679643115,17.44852204326915,27.14548007078285,11.166680847546836
attention,2,42,"[0, 0.1)",0.0,0.1,84068,2.7712293466100473,1.665463070754599,0.0,1.6609474573232
attention,2,42,"[0.1, 1)",0.1,1.0,13885,5.130542529795608,3.426668759358314,0.41882607508658676,3.8198016234631305
attention,2,42,"[1, 5)",1.0,5.0,16941,6.124719819449179,4.054836549442718,2.4852606168245597,5.899388035974515
attention,2,42,"[5, 10)",5.0,10.0,9387,6.299716117265846,4.410659047584566,7.215936892352902,7.89223309823693
attention,2,42,"[10, inf)",10.0,inf,16372,27.90087927082057,17.488233553463022,27.14548007078285,11.237854200332432
attention,2,123,"[0, 0.1)",0.0,0.1,84068,2.91150522594825,1.8545124013421534,0.0,1.8403834625189133
attention,2,123,"[0.1, 1)",0.1,1.0,13885,5.289426963624959,3.621797828806556,0.41882607508658676,3.9855998329880795
attention,2,123,"[1, 5)",1.0,5.0,16941,6.295011973235693,4.242806561744922,2.4852606168245597,6.014968275282974
attention,2,123,"[5, 10)",5.0,10.0,9387,6.381011821818109,4.555204187824724,7.215936892352902,8.121582584443118
attention,2,123,"[10, inf)",10.0,inf,16372,27.71693064609168,17.214489029209176,27.14548007078285,11.602422762777048
persistence,2,n/a,"[0, 0.1)",0.0,0.1,84068,5.446238870493283,0.9082754419767979,0.0,0.9082754419767979
persistence,2,n/a,"[0.1, 1)",0.1,1.0,13885,10.264459807813658,3.35881166354192,0.41882607508658676,3.3778537960024804
persistence,2,n/a,"[1, 5)",1.0,5.0,16941,12.863214956068497,5.837164270564088,2.4852606168245597,6.19998819009723
persistence,2,n/a,"[5, 10)",5.0,10.0,9387,14.335563379990157,8.314647896350847,7.215936892352902,8.988132515862064
