# Phase 6 — IMD-tier extreme rainfall evaluation (primary tier scheme).
# Boundaries: IMD daily scale (see src/imd_tiers.py / dashboard/lib/imd_rainfall.py).
# Merge rule: tiers with < 100 test samples merged per horizon (see merge log below).
# Mean_Error_Bias = mean(predicted - actual) mm/day (continuous; NOT contingency frequency bias).
# GNN-LSTM excluded (graph inference path not shared with flat eval scripts).
# Secondary cross-check: extreme_rainfall_evaluation.csv (95th-percentile split; different framing).
# h=1 merges: none (all raw IMD tiers n >= 100)
# h=2 merges: none (all raw IMD tiers n >= 100)
# h=3 merges: none (all raw IMD tiers n >= 100)
# h=4 merges: none (all raw IMD tiers n >= 100)
Model,Horizon,Tier,Seed,N_samples,RMSE,MAE,Mean_Error_Bias,Source_Tiers
LSTM,4,Heavy,123,2274,35.669851,33.830385,-33.787522,Heavy
LSTM,4,Very Heavy,123,828,71.465336,69.15552,-69.15552,Very Heavy
LSTM,4,Extremely Heavy,123,171,163.769806,153.840489,-153.840489,Extremely Heavy
CNN-LSTM-Temporal,4,No Rain,13,83742,2.695989,1.816631,1.800593,No Rain
CNN-LSTM-Temporal,4,Light,13,36003,4.840507,3.593305,2.938688,Light
CNN-LSTM-Temporal,4,Moderate,13,16877,11.561471,9.217344,-8.247573,Moderate
CNN-LSTM-Temporal,4,Heavy,13,2274,37.583382,36.238538,-36.233031,Heavy
CNN-LSTM-Temporal,4,Very Heavy,13,828,73.853203,71.859638,-71.859638,Very Heavy
CNN-LSTM-Temporal,4,Extremely Heavy,13,171,166.847906,157.167901,-157.167901,Extremely Heavy
CNN-LSTM-Temporal,4,No Rain,42,83742,2.492569,1.504715,1.463473,No Rain
CNN-LSTM-Temporal,4,Light,42,36003,4.747025,3.41927,2.546845,Light
CNN-LSTM-Temporal,4,Moderate,42,16877,11.805637,9.477772,-8.4852,Moderate
CNN-LSTM-Temporal,4,Heavy,42,2274,37.671435,36.270211,-36.267592,Heavy
CNN-LSTM-Temporal,4,Very Heavy,42,828,73.946011,71.916266,-71.916266,Very Heavy
CNN-LSTM-Temporal,4,Extremely Heavy,42,171,166.96963,157.351742,-157.351742,Extremely Heavy
CNN-LSTM-Temporal,4,No Rain,123,83742,2.779642,1.704792,1.607557,No Rain
CNN-LSTM-Temporal,4,Light,123,36003,5.249112,3.889657,3.134625,Light
CNN-LSTM-Temporal,4,Moderate,123,16877,11.316925,8.946757,-7.733456,Moderate
CNN-LSTM-Temporal,4,Heavy,123,2274,36.907251,35.475342,-35.462645,Heavy
