model,horizon,seed,threshold_mm,POD,FAR,CSI,Bias,HSS,Accuracy,hits,misses,false_alarms,correct_negatives,n,n_obs_event,n_pred_event
lstm,1,123,124.4,0.017857142857142856,0.25,0.01775147928994083,0.023809523809523808,0.034830332634033984,0.9988248869130628,3,165,1,141094,141263,168,4
temporal,1,13,0.1,0.9899505447121562,0.5917016303479915,0.4066130279832,2.4245762861014803,0.019990055783555012,0.41892073649858774,56248,571,81514,2930,141263,56819,137762
temporal,1,13,1.0,0.9218633308439134,0.5129770051168239,0.4677157709021586,1.8928538088125466,0.3986328548837024,0.6817779602585249,39500,3348,41605,56810,141263,42848,81105
temporal,1,13,5.0,0.7259563264673997,0.3959212603498824,0.4919064984127817,1.2017577822518197,0.5745095944571208,0.8629011135258348,18750,7078,12289,103146,141263,25828,31039
temporal,1,13,10.0,0.5149945142021212,0.4329530201342282,0.3696460602878768,0.9082043154943313,0.48256583148264787,0.8980058472494566,8449,7957,6451,118406,141263,16406,14900
temporal,1,13,35.6,0.20895980362074257,0.4282115869017632,0.1806845317060228,0.36544952439398587,0.29739077674086106,0.9781400649851695,681,2578,510,137494,141263,3259,1191
temporal,1,13,64.4,0.09346733668341708,0.47752808988764045,0.08611111111111111,0.17889447236180905,0.1567651923682365,0.9930130324288738,93,902,85,140183,141263,995,178
temporal,1,13,124.4,0.041666666666666664,0.3,0.04093567251461988,0.05952380952380952,0.07852855288327194,0.9988390449020621,7,161,3,141092,141263,168,10
temporal,1,42,0.1,0.9293018180538201,0.5305863003956083,0.4532282707593003,1.979707492212112,0.1917910763677748,0.5490680503741249,52802,4017,59683,24761,141263,56819,112485
temporal,1,42,1.0,0.8805078416728902,0.4974692311790719,0.4704474038605417,1.7521471247199403,0.4132615635804934,0.6993692615900837,37728,5120,37348,61067,141263,42848,75076
temporal,1,42,5.0,0.6928140003097414,0.3827100869325238,0.4846433020963111,1.1223478395539723,0.5696569173702047,0.8653008926612064,17894,7934,11094,104341,141263,25828,28988
temporal,1,42,10.0,0.5108496891381202,0.43676075268817205,0.3659026413446846,0.9069852492990369,0.47811214411737185,0.8971846838875006,8381,8025,6499,118358,141263,16406,14880
temporal,1,42,35.6,0.20681190549248235,0.4229452054794521,0.1795896616040501,0.3583921448297024,0.29592399941247693,0.9782037759356661,674,2585,494,137510,141263,3259,1168
temporal,1,42,64.4,0.0914572864321608,0.4451219512195122,0.0852059925093633,0.16482412060301507,0.15534823164353295,0.99308382237387,91,904,73,140195,141263,995,164
temporal,1,42,124.4,0.017857142857142856,0.0,0.017857142857142856,0.017857142857142856,0.0350474529770763,0.9988319659075625,3,165,0,141095,141263,168,3
temporal,1,123,0.1,0.8952639081997219,0.4054420496516901,0.5558918989804059,1.505763916999595,0.4474650144692245,0.7123167425298911,50868,5951,34688,49756,141263,56819,85556
