model,horizon,threshold_mm,n_seeds,POD_mean,POD_std,FAR_mean,FAR_std,CSI_mean,CSI_std,Bias_mean,Bias_std,HSS_mean,HSS_std,Accuracy_mean,Accuracy_std
lstm,3,5.0,3,0.7374275601882463,0.025608024902311132,0.4862759647336892,0.009853036345308529,0.434008092619973,0.003286187558991286,1.4364150234011384,0.07712487742742687,0.4965597924938632,0.0035592738685049563,0.8237783305890766,0.004969259355950608
lstm,3,10.0,3,0.3677204998063556,0.021964341034107663,0.512491221163589,0.0075602840328535675,0.2649363550889439,0.009404261377269916,0.7548665892089117,0.05629813700336479,0.3541574814246875,0.009979172956552748,0.8811724985090726,0.0014440426468831859
lstm,3,35.6,3,0.04589963280293757,0.008584308530664345,0.4621674586570222,0.016341955712660804,0.044095305296628584,0.007844596340753213,0.08567931456548349,0.0182087827990353,0.08102929171841326,0.01377238062656136,0.9768484528807567,3.1069967450535194e-05
lstm,3,64.4,3,0.009027081243731194,0.0026537124484098196,0.34007936507936504,0.18723557822590856,0.008970194989870436,0.002605943141265388,0.014710799063858242,0.00652598505380914,0.017570312227541747,0.005032457061073156,0.9929172042320952,1.7938254071279403e-05
lstm,3,124.4,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9987882503047194,0.0
lstm,4,0.1,3,0.9718334935726242,0.026656655552011858,0.5597390851428261,0.03311939704501881,0.4340990254577515,0.026421052716601532,2.218329000937697,0.2179195414198697,0.11490120195474618,0.08967771023981588,0.4882875413366879,0.06611441585520599
lstm,4,1.0,3,0.9183037326675146,0.014046099704503885,0.5468597784954755,0.027542674417428283,0.4352804968047867,0.022425626944719373,2.03292190763336,0.15767445090542564,0.336192357618796,0.048636996097285064,0.636987639496431,0.03936630801276859
lstm,4,5.0,3,0.7466510903426791,0.02509066715154632,0.5005777424418508,0.01173514761043068,0.4267449948438964,0.002180690076524488,1.496352544132918,0.0856073860617117,0.4849076321306472,0.004776034994194154,0.8158909187942553,0.006615818449749555
lstm,4,10.0,3,0.41977121184315164,0.06772556130526018,0.542902058292865,0.022070149731298307,0.2778622578365059,0.020784071427647263,0.9243082318876042,0.19475859729166564,0.36386484142154635,0.020426170301207535,0.8732548055388779,0.007061296326887996
lstm,4,35.6,3,0.04025617566331199,0.01982311680390363,0.5591164967942474,0.02120277875905518,0.03801100184971035,0.017704417042488357,0.09149130832570906,0.045163521843267586,0.06929181000767792,0.031088286340880913,0.9763058581353462,0.000146655548851283
lstm,4,64.4,3,0.007960199004975124,0.0071752264188338095,0.37745098039215685,0.29809403520609357,0.007863007726402985,0.007060081944561832,0.015257048092868987,0.017157568366670067,0.015330262195397145,0.013728953793230143,0.9928214731585517,5.0202770167305187e-05
lstm,4,124.4,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9987777682477056,0.0
temporal,1,0.1,3,0.9381720903218994,0.047962496610287654,0.50924332679843,0.09494629925261906,0.4719110659076354,0.0763729694163197,1.9700158984377294,0.45948284804339595,0.21974871554018474,0.21510446826344568,0.5601018431342012,0.14700888587355657
temporal,1,1.0,3,0.8900687702265372,0.028254555689350633,0.46458296272304106,0.07081659030204607,0.5006379775992911,0.05467433351597163,1.6840770475479214,0.24986540717225775,0.4598729552224609,0.09368808900487477,0.7258163850406688,0.061672707520310004
temporal,1,5.0,3,0.708236539156471,0.01669016053442416,0.38856519635156195,0.006732267393136003,0.4882734601843371,0.003631599014801145,1.1586133911517216,0.040149390711356474,0.5722155513028033,0.002437134575158613,0.8643098334312594,0.0012532219693739705
temporal,1,10.0,3,0.5165793002560038,0.006664847949694824,0.43689646085949924,0.004013016146373599,0.3687488455109775,0.002520360306789248,0.9174489008086472,0.017078714226431067,0.48114852893622695,0.002631521107760241,0.8973003074643278,0.0006554221283780052
temporal,1,35.6,3,0.22552930346732128,0.030578215039251747,0.4361242096357989,0.018454707718727082,0.19137022376583146,0.019464046835046406,0.4014523882581569,0.06856152603795006,0.3119332628159169,0.026468753391127905,0.9780739943698397,0.00017257847186430953
temporal,1,64.4,3,0.10586264656616416,0.023231810315022864,0.48649738212343685,0.04651325420625676,0.09543322733922899,0.01693628220749819,0.2100502512562814,0.06652173163164991,0.17195530391472943,0.02754628139106594,0.992968198797043,0.00014339696975843583
temporal,1,124.4,3,0.03571428571428571,0.015748519708717802,0.2282051282051282,0.2021091938352672,0.03501186331274558,0.015091542614312304,0.05158730158730159,0.030545246663374312,0.06727267872709737,0.0283273152974811,0.9988343255723957,4.087059379928716e-06
temporal,2,0.1,3,0.9858973226119997,0.011836201227068587,0.5815368455223486,0.012379295693100615,0.41588259338907685,0.010237096344271931,2.3579217107007153,0.09785912638275035,0.051408059916691055,0.03874920727889823,0.442358143800701,0.030123492858761557
temporal,2,1.0,3,0.9399297423887588,0.018677442671134956,0.5709928029341885,0.03067387428914788,0.4171549356368245,0.025189141873760684,2.2001639344262296,0.1939729660938075,0.2933287741488337,0.05643699180454451,0.5991766972620564,0.04768152517148663
temporal,2,5.0,3,0.7299972825032027,0.004747174187790309,0.46669235111856205,0.001958653058829707,0.4454327669359328,0.0009157812791631853,1.368841958150549,0.013477898528308446,0.5133259230123884,0.0009669050099492138,0.8335549188428258,0.0008302224951900019
temporal,2,10.0,3,0.4037177294567962,0.010250205710639669,0.5016617717295585,0.0034131521150288628,0.2870013931236355,0.004047434858390072,0.8102451339685642,0.026076345519813384,0.3815659852992887,0.004188646102758149,0.8832730194165784,0.0006597475633478064
temporal,2,35.6,3,0.09023941068139962,0.005855980364744908,0.43692849851950455,0.018089999685955538,0.0843350665105912,0.005420998584809524,0.16022099447513813,0.007746733863796167,0.15008601033566712,0.00907714708344022,0.9773058519903594,0.00014518409032624366
temporal,2,64.4,3,0.01742043551088777,0.005888909826213382,0.3065738372643743,0.03664776815206992,0.01727857720371225,0.005800485929046256,0.025125628140703515,0.00822648519786176,0.03359396114698761,0.011077116899651874,0.9929945800421368,2.69168727094532e-05
temporal,2,124.4,3,0.00196078431372549,0.003396178054056622,0.5,0.0,0.001949317738791423,0.0033763173636820218,0.00392156862745098,0.006792356108113244,0.003866708311933109,0.006697335254317031,0.9987913517664039,0.0
temporal,3,0.1,3,0.9672786400591278,0.02753163259285269,0.5503979110583979,0.038185041417562245,0.4421541472767858,0.03180296831497018,2.165835920177384,0.2547924084625956,0.13860913275329304,0.10859177182588858,0.5052259675583719,0.0805801808191482
temporal,3,1.0,3,0.9114289740698985,0.03485873603493422,0.5282376278025979,0.05653093500778505,0.44948865143945466,0.0429543427242105,1.9565326318426657,0.30854947659666015,0.36330267016980283,0.09103957404442406,0.6559533737725095,0.07249224542553487
temporal,3,5.0,3,0.724670374547859,0.0261786874473531,0.48021736632658935,0.011734502869776947,0.4337176588377605,0.0017292700810512473,1.3953949671346895,0.08127257764669941,0.4978620162832546,0.0022174697940409898,0.8266200024234994,0.005334028071738704
temporal,3,10.0,3,0.34913063861880594,0.01195125190989222,0.5008312050346237,0.003524109335751732,0.2585019545578726,0.006075283557970881,0.6995046780407265,0.0268326876241868,0.34827320919846355,0.007002756064741762,0.8832918724859163,0.0005702500004006252
temporal,3,35.6,3,0.03967768257853937,0.03721404968212231,0.4531394696176027,0.06606159467089827,0.037378581046530225,0.03365470229455331,0.07680538555691555,0.07791108705063576,0.0678909977595289,0.05893027130015051,0.9767652935879433,0.00010888107258751054
temporal,3,64.4,3,0.006352390504847877,0.009319531838693648,0.2926829268292683,0.41391616459700337,0.0062187869517792696,0.009089501921871636,0.014376462721497826,0.023185206884100047,0.012062546949149086,0.017562777788682496,0.9928815645351752,3.368532732390776e-05
temporal,3,124.4,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9987882503047194,0.0
temporal,4,0.1,3,0.9795961969875013,0.012338785060815276,0.5701049262767266,0.018323083217362594,0.42593639007521694,0.015695218620027224,2.28219326045413,0.12379394798604382,0.08807432802844155,0.05362735492932452,0.46888193193622474,0.03998005607023452
temporal,4,1.0,3,0.9257627863884047,0.023492926574868706,0.5664079032195338,0.0335935016912417,0.41845521538665337,0.02683718696007688,2.146692105965673,0.22505500898780578,0.29957999373309196,0.062200324748974224,0.6069917374274524,0.05408004142219196
temporal,4,5.0,3,0.7230659397715472,0.03585318107631937,0.49313174568237383,0.012366044509470927,0.4239422817744695,0.004501968174401458,1.428206126687435,0.10377441894186037,0.4841614817769245,0.0024518693143418015,0.8197410679398843,0.005967853857782487
temporal,4,10.0,3,0.32480985298015946,0.032779550016554554,0.5106083904928816,0.009527275270358005,0.24203656368184912,0.015468265517539794,0.6647499031422687,0.08081700397372489,0.326997639225632,0.017102391911939168,0.8813911046306622,0.001782886179169677
temporal,4,35.6,3,0.007827589712310665,0.0011546016764867897,0.4672340425531915,0.09355607300349465,0.007775037082334981,0.0011594777549851878,0.014740266341364237,0.00046585093981456116,0.014757487944080251,0.002300977344086174,0.9765846127455186,6.352885051116718e-05
temporal,4,64.4,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9928167081224805,0.0
temporal,4,124.4,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9987777682477056,0.0
persistence,1,0.1,1,0.7867262711416956,0.0,0.2123171806167401,0.0,0.6490823023755591,0.0,0.9987856174871081,0.0,0.6441679490959442,0.0,0.8289219399276527,0.0
persistence,1,1.0,1,0.7368605302464526,0.0,0.2624681725805321,0.0,0.5837770874935286,0.0,0.9990898058252428,0.0,0.6228509879244011,0.0,0.8406447548190255,0.0
persistence,1,5.0,1,0.6208765680656652,0.0,0.37823271683920745,0.0,0.450664643228508,0.0,0.9985674461824376,0.0,0.5366685308532181,0.0,0.8616268945159029,0.0
persistence,1,10.0,1,0.5158478605388273,0.0,0.4837430610626487,0.0,0.34775641025641024,0.0,0.9992076069730587,0.0,0.45249092090626847,0.0,0.8876351203075116,0.0
persistence,1,35.6,1,0.34826633936790424,0.0,0.6506617420744845,0.0,0.21124139214591475,0.0,0.9969315741024855,0.0,0.33344744110271035,0.0,0.969999221310605,0.0
persistence,1,64.4,1,0.23115577889447236,0.0,0.7676767676767676,0.0,0.13105413105413105,0.0,0.9949748743718593,0.0,0.22630214441183408,0.0,0.9892045333880776,0.0
persistence,1,124.4,1,0.22023809523809523,0.0,0.7784431137724551,0.0,0.12416107382550336,0.0,0.9940476190476191,0.0,0.21997062516754193,0.0,0.9981523824355989,0.0
persistence,2,0.1,1,0.7489440664487055,0.0,0.24773231561196415,0.0,0.6007711827164344,0.0,0.9955818679862154,0.0,0.5833568825460335,0.0,0.7997767555615592,0.0
persistence,2,1.0,1,0.69096018735363,0.0,0.30580456930425165,0.0,0.5297233244160368,0.0,0.9953395784543325,0.0,0.5590088742493803,0.0,0.8137757459847995,0.0
