# NOTES (pandas: read_csv(..., comment="#"))
# CNN-LSTM+Attention seed=42; min n_test_samples >= 30; stations below threshold excluded.
# Predictions: CUDA+autocast re-inference from cnn_lstm_attention_h{1,4}_seed42.pt (no saved y_pred arrays on disk).
# station_id aligned via rebuild_test_meta; lat/lon/name from feature_engineered_v2.csv (deduplicated).
# Provenance: distinct eval run, deterministic Attention (no dropout/BN) — same convention as Features 3–5.
# Cross-reference (Section 5b): The strong correlation between station RMSE and station rainfall variance (r=0.89-0.93) is consistent with, and best interpreted alongside, the Extreme Rainfall Subset Evaluation (Feature 4/Section 5b): high-RMSE stations are largely those with more frequent or more severe extreme-rainfall days, and all three deep learning models (LSTM, Temporal, Attention) showed 8-10x worse RMSE on extreme vs normal days regardless of station. This map does not indicate a distinct new failure mode - it is the geographic expression of the same extreme-rainfall difficulty already documented in Section 5b.
station_id,station_name,latitude,longitude,horizon,n_test_samples,RMSE,MAE
Bombay / Santacruz_19.12_72.85_8,Bombay / Santacruz,19.1167,72.85,1,375,21.958708,7.306441

Bramhapuri_20.6_79.85_227,Bramhapuri,20.6,79.85,1,337,10.170252,3.588003

Buldana_20.53_76.23_648,Buldana,20.5333,76.2333,1,342,8.394852,3.4311113

Bulsar_20.62_72.93_0,Bulsar,20.6167,72.9333,1,337,7.7642503,3.1541383

Bundi_25.45_75.63_266,Bundi,25.45,75.6333,1,337,9.43845,2.6669607

Burdwan_23.23_87.85_0,Burdwan,23.2333,87.85,1,335,6.328415,3.2370548

Calcutta / Alipore_22.53_88.33_5,Calcutta / Alipore,22.5333,88.3333,1,374,13.438951,6.0366106

Calcutta / Dum Dum_22.65_88.45_4,Calcutta / Dum Dum,22.65,88.45,1,374,10.742657,4.9474106

Calicut / Kondotti_11.14_75.96_104,Calicut / Kondotti,11.1368,75.9553,1,374,10.56356,5.9217744

Canning_22.25_88.67_3,Canning,22.25,88.6667,1,337,8.800147,3.932444

Cannur_11.83_75.33_11,Cannur,11.8333,75.3333,1,374,16.843584,7.6394844

Car Nicobar_9.17_92.83_9,Car Nicobar,9.1667,92.8333,1,335,6.755363,4.136315

Car Nicobar_9.15_92.82_10,Car Nicobar,9.15,92.8167,1,335,6.524387,4.0765066

Chamarajnagar / Chamrajnagar_11.93_76.93_760,Chamarajnagar / Chamrajnagar,11.9333,76.9333,1,307,4.8890805,2.5868232

Chandbali_20.78_86.73_5,Chandbali,20.7833,86.7333,1,344,12.089138,4.3157454

Chandigarh / S?rajpur_30.73_76.88_347,Chandigarh / S?rajpur,30.7333,76.8833,1,344,5.81356,2.3913336

Chandrapur_19.97_79.3_191,Chandrapur,19.9667,79.3,1,344,13.390713,4.4771953

Chaparmukh_26.2_92.52_64,Chaparmukh,26.2,92.5167,1,337,10.190162,4.9442463

Chapra_25.78_84.73_55,Chapra,25.7833,84.7333,1,335,4.771008,2.3576276

Cherrapunji_25.25_91.73_1312,Cherrapunji,25.25,91.7333,1,335,29.058279,10.495673

Chhindwara_22.1_79.0_675,Chhindwara,22.1,79.0,1,335,4.3493514,2.124805

Chickmagalur_13.25_75.75_0,Chickmagalur,13.25,75.75,1,336,7.1546164,3.6065867

Chintamani / Sugut?ru_13.2_78.07_857,Chintamani / Sugut?ru,13.2,78.0667,1,336,4.159315,2.0782375

Chitradurga_14.23_76.43_724,Chitradurga,14.2333,76.4333,1,344,8.064097,3.1204977

Chittorgarh_24.88_74.63_404,Chittorgarh,24.8833,74.6333,1,335,5.319917,2.1021426

Churu_28.25_74.92_290,Churu,28.25,74.9167,1,341,7.7077184,1.930099

Cochin / K?ladi_10.15_76.4_9,Cochin / K?ladi,10.152,76.4019,1,335,9.902444,5.6544213

Cochin / Willingdon_9.95_76.27_1,Cochin / Willingdon,9.95,76.2667,1,335,8.142458,4.980592

Cochin Int. Airport / K?ladi_10.15_76.4_8,Cochin Int. Airport / K?ladi,10.15,76.4,1,335,9.826855,5.8190823

Coimbatore_11.0_76.97_407,Coimbatore,11.0,76.9667,1,339,7.771612,3.1760607

Coimbatore / Peelamedu_11.03_77.05_396,Coimbatore / Peelamedu,11.0333,77.05,1,339,7.76965,3.1772096

Contai_21.78_87.75_10,Contai,21.7833,87.75,1,337,8.677914,3.9898124

Cooch Behar_26.33_89.47_41,Cooch Behar,26.3333,89.4667,1,338,16.95745,7.298197

Coonoor_11.35_76.8_1745,Coonoor,11.35,76.8,1,336,6.0890603,3.6389382

Cuddalore_11.77_79.77_5,Cuddalore,11.7667,79.7667,1,344,15.135177,4.958066

Cuddapah_14.48_78.83_129,Cuddapah,14.4833,78.8333,1,337,4.2055264,2.2042904

Cuttack_20.47_85.93_27,Cuttack,20.4667,85.9333,1,376,7.4830866,3.629147

Cwc Vishakhapatnam / Waltair_17.7_83.3_45,Cwc Vishakhapatnam / Waltair,17.7,83.3,1,375,6.46141,3.027016

Dahanu_19.97_72.72_4,Dahanu,19.9667,72.7167,1,337,6.559764,2.9133556

Daltonganj_24.05_84.07_0,Daltonganj,24.05,84.0667,1,341,8.919631,3.2248194

Daman_20.42_72.85_0,Daman,20.4167,72.85,1,337,7.596325,3.219774

Daman / Dam?n_20.43_72.84_10,Daman / Dam?n,20.4344,72.8432,1,337,7.602905,3.2205858

Damoh_23.83_79.45_369,Damoh,23.8333,79.45,1,335,7.317336,2.8279567

Darbhanga_26.17_85.9_47,Darbhanga,26.1667,85.9,1,337,5.487216,2.6590128

Datia_25.67_78.47_227,Datia,25.6667,78.4667,1,338,5.1650176,2.381484

Davangere / SM Krishna Ext._14.5_75.92_620,Davangere / SM Krishna Ext.,14.5,75.9167,1,337,4.756352,2.477507

Deesa_24.2_72.2_135,Deesa,24.2,72.2,1,341,4.8841085,1.7257911

Dehradun_30.32_78.03_683,Dehradun,30.3167,78.0333,1,344,6.370356,2.6040168

Dehradun / R?ni Pokhri_30.19_78.18_558,Dehradun / R?ni Pokhri,30.1897,78.1803,1,344,16.476292,5.2599254

Dehri_24.92_84.18_0,Dehri,24.9167,84.1833,1,335,4.407034,2.1564863

Dhar_22.6_75.3_581,Dhar,22.6,75.3,1,335,5.430179,2.3571935

Dharmapuri_12.13_78.03_396,Dharmapuri,12.1333,78.0333,1,336,5.3788867,2.6502354

Dharmpur_30.9_77.02_1986,Dharmpur,30.9,77.0167,1,339,9.750124,4.39817

Dharmsala_32.27_76.38_1211,Dharmsala,32.2667,76.3833,1,336,7.9579067,4.4202175

Dharwad_15.48_74.98_678,Dharwad,15.4833,74.9833,1,337,4.153165,1.931995

Dhubri_26.02_89.98_0,Dhubri,26.0167,89.9833,1,342,23.226461,8.117812

Dhubri Rupsi_26.15_89.92_35,Dhubri Rupsi,26.15,89.9167,1,342,13.991318,6.5709257

Diamond Harbour_22.18_88.2_4,Diamond Harbour,22.1833,88.2,1,337,7.797635,3.8193562

Dibrugarh / Mohanbari_27.48_95.02_110,Dibrugarh / Mohanbari,27.4833,95.0167,1,344,12.499845,6.2912655

Digha_21.83_87.78_0,Digha,21.8333,87.7833,1,337,8.551215,3.8569524

Diu_20.72_70.92_10,Diu,20.7167,70.9167,1,337,4.9030085,1.9722074

Durg_21.18_81.28_292,Durg,21.1833,81.2833,1,337,6.3732543,2.8082745

Dwarka_22.37_69.08_10,Dwarka,22.3667,69.0833,1,341,27.24151,6.499469

Erinpura / Jawai Dam Site_25.08_73.08_294,Erinpura / Jawai Dam Site,25.0833,73.0833,1,337,5.0995154,1.845285

Forbesganj_26.3_87.27_59,Forbesganj,26.3,87.2667,1,337,6.9570823,3.2532406

Fort Cochin_9.97_76.23_2,Fort Cochin,9.9667,76.2333,1,335,8.142458,4.980592

Fursatganj / R?e Bareli_26.25_81.37_107,Fursatganj / R?e Bareli,26.25,81.3667,1,337,4.4198284,2.092519

Gadag_15.42_75.63_661,Gadag,15.4167,75.6333,1,376,6.483197,2.7424684

Gandhinagar_23.23_72.72_0,Gandhinagar,23.2333,72.7167,1,342,6.3506308,2.3372695

Ganganagar_29.92_73.92_176,Ganganagar,29.9167,73.9167,1,342,5.576224,2.172361

Gangtok_27.33_88.62_1756,Gangtok,27.3333,88.6167,1,337,10.339291,5.787171

Gauhati_26.1_91.58_47,Gauhati,26.1,91.5833,1,338,12.650214,5.824827

Gaya_24.75_84.95_110,Gaya,24.75,84.95,1,335,7.112183,2.7653956

Ghazipur_25.4_83.55_0,Ghazipur,25.4,83.55,1,335,4.572314,2.3062863

Goa / Dabolim Airport_15.38_73.82_42,Goa / Dabolim Airport,15.3833,73.8167,1,337,11.886627,5.613089

Goa / Panjim_15.48_73.82_58,Goa / Panjim,15.4833,73.8167,1,337,13.02585,5.545926

Goalpara_26.18_90.63_36,Goalpara,26.1833,90.6333,1,337,19.656431,7.757817

Golaghat_26.52_93.98_0,Golaghat,26.5167,93.9833,1,337,12.310332,5.8929806

Gondia_21.47_80.2_311,Gondia,21.4667,80.2,1,341,8.043301,3.3739414

Gopalpur_19.27_84.88_16,Gopalpur,19.2667,84.8833,1,375,6.0445814,2.8866882

Gorakhpur_26.75_83.37_76,Gorakhpur,26.75,83.3667,1,341,7.38709,3.113337

Gulbarga_17.35_76.85_457,Gulbarga,17.35,76.85,1,344,7.398327,2.950565

Gulmarg_34.05_74.4_2652,Gulmarg,34.05,74.4,1,336,6.616427,4.093831

Guna_24.65_77.32_477,Guna,24.65,77.3167,1,373,9.077364,3.4016175

Gwalior_26.23_78.25_205,Gwalior,26.2333,78.25,1,338,8.362273,3.328217

Haflong_25.17_93.02_680,Haflong,25.1667,93.0167,1,335,15.956232,5.002425

Hamirpur_25.95_80.15_109,Hamirpur,25.95,80.15,1,337,4.1519065,1.9671254

Hanamkonda_18.02_79.57_266,Hanamkonda,18.0167,79.5667,1,337,4.5650673,2.4712555

Hardoi_27.38_80.17_141,Hardoi,27.3833,80.1667,1,337,4.634686,2.246146

Harnai_17.82_73.1_17,Harnai,17.8167,73.1,1,375,16.44389,6.5462885

Hassan_13.0_76.15_955,Hassan,13.0,76.15,1,336,4.945802,2.6551204

Haveri / H?veri_14.78_75.4_573,Haveri / H?veri,14.7833,75.4,1,337,4.341603,2.1846943

